xh,zygzmc,zybm,cylb,nd
1,化工产品生产通用工艺人员（类）,39022,绿色化工,2022_2023年
2,基础化学原料制造人员（类）,39023,绿色化工,2022_2023年
3,化学肥料生产人员（类）,39024,绿色化工,2022_2023年
4,化学检验员,6-31-03-01,绿色化工,2022_2023年
5,工业废水处理工,6-28-03-03,绿色化工,2022_2023年
6,化学合成制药工,6-12-01-00,生物医药,2022_2023年
7,中药炮制工,6-12-02-00,生物医药,2022_2023年
8,药物制剂工,6-12-03-00,生物医药,2022_2023年
9,药物检验员,4-08-05-04,生物医药,2022_2023年
10,医用材料产品生产工,6-21-06-04,生物医药,2022_2023年
11,机械冷加工人员（类）,6-18-01,装备制造,2022_2023年
12,机械热加工人员（类）,6-18-02,装备制造,2022_2023年
13,工业机器人系统操作员,6-30-99-00,装备制造,2022_2023年
14,工业互联网工程技术人员,2-02-10-13,装备制造,2022_2023年
15,装配钳工,6-20-01-01,装备制造,2022_2023年
16,机修钳工,6-31-01-02,装备制造,2022_2023年
17,电工,6-31-01-03,装备制造,2022_2023年
18,镀层工,6-18-03-01,装备制造,2022_2023年
19,仪器仪表维修工,6-31-01-04,装备制造,2022_2023年
20,工程机械维修工,6-31-01-09,装备制造,2022_2023年
21,机械设备安装工,6-29-03-01,装备制造,2022_2023年
22,机床装调维修工,6-20-03-01,装备制造,2022_2023年
23,起重装卸机械操作工,6-30-05-01,装备制造,2022_2023年
24,电线电缆制造工,6-24-03-01,装备制造,2022_2023年
25,质检员,6-31-03-05,装备制造,2022_2023年
26,缝纫工,6-05-01-03,装备制造,2022_2023年
27,裁剪工,6-05-01-02,装备制造,2022_2023年
28,机械设计工程技术人员,2-02-07-01,装备制造,2022_2023年
29,电池制造工,6-24-04-00,清洁能源,2022_2023年
30,信息通信网络运行管理员,4-04-04-01,新一代信息技术,2022_2023年
31,信息通信网络终端维修员,4-12-02-03,新一代信息技术,2022_2023年
32,智能制造工程技术人员,2-02-07-13,新一代信息技术,2022_2023年
33,计算机程序设计员,4-04-05-01,新一代信息技术,2022_2023年
34,计算机软件测试员,4-04-05-02,新一代信息技术,2022_2023年
35,休闲农业服务员,4-07-04-06,文化旅游,2022_2023年
36,茶叶加工工,6-02-06-10,现代特色农业,2022_2023年
37,农产品食品检验员,4-08-05-01,食品饮料,2022_2023年
38,中式烹调师,4-03-02-01,食品饮料,2022_2023年
39,西式面点师,4-03-02-04,食品饮料,2022_2023年
40,砌筑工,6-29-01-01,建筑建材,2022_2023年
41,混凝土工,6-29-01-03,建筑建材,2022_2023年
42,钢筋工,6-29-01-04,建筑建材,2022_2023年
43,架子工,6-29-01-05,建筑建材,2022_2023年
44,电力电气设备安装工,6-29-03-08,建筑建材,2022_2023年
45,建筑信息模型技术员,4-04-05-04,建筑建材,2022_2023年
46,装配式建筑施工员,6-29-99-00,建筑建材,2022_2023年
47,育婴员,4-10-01-02,现代服务业,2022_2023年
48,保育师,4-10-01-03,现代服务业,2022_2023年
49,养老护理员,4-10-01-05,现代服务业,2022_2023年
50,健康照护师,4-14-01-02,现代服务业,2022_2023年
51,公共营养师,4-14-02-01,现代服务业,2022_2023年
52,营销员,4-01-02-01,现代服务业,2022_2023年
53,互联网营销师,4-01-02-07,现代服务业,2022_2023年
54,冷藏工,4-02-06-04,现代服务业,2022_2023年
55,包装工,6-31-05-00,现代服务业,2022_2023年
56,化工原料准备工,6-11-01-01,现代化工新材料,2024-2025年
57,化工单元操作工,6-11-01-02,现代化工新材料,2024-2025年
58,化工总控工S,6-11-01-03,现代化工新材料,2024-2025年
59,制冷工,6-11-01-04,现代化工新材料,2024-2025年
60,工业清洗工,6-11-01-05,现代化工新材料,2024-2025年
61,腐蚀控制工,6-11-01-06,现代化工新材料,2024-2025年
62,无机化学反应生产工,6-11-02-10,现代化工新材料,2024-2025年
63,有机合成工,6-11-02-15,现代化工新材料,2024-2025年
64,中药炮制工,6-12-02-00,现代化工新材料,2024-2025年
65,药物制剂工,6-12-03-00,现代化工新材料,2024-2025年
66,锅炉操作工,6-28-01-11,现代化工新材料,2024-2025年
67,"
工业废水处理工L",6-28-03-03,现代化工新材料,2024-2025年
68,仪器仪表维修工,6-31-01-04,现代化工新材料,2024-2025年
69,化学检验员,6-31-03-01,现代化工新材料,2024-2025年
70,车工,6-18-01-01,新能源及高端装备,2024-2025年
71,"
铣工",6-18-01-02,新能源及高端装备,2024-2025年
72,磨工,6-18-01-04,新能源及高端装备,2024-2025年
